in: U-value (wall),in: Fin Depth,in: Distance btw fins,in: Shading type,in: Orientation,in: Orientation angle,in: g-value,in: Transmittance,in: U-value (window),in: Glazing ratio,in: Window height,in: Sill height,out: Cooling (kWh/m2.year),out: Heating (kWh/m2.year),out: Lighting (kWh/m2.year),out: Total (kWh/m2.year),out: Dissatisfied (% users),out: Cooling Load (W/m2),out: Heating Load (W/m2)
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,3,0,7.337622,29.448092,3.65195,80.874249,28.390838,117.260422,30.238112
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,3,0,5.071342,47.719566,5.10715,97.453636,28.572665,104.884248,40.422258
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,3,0,5.993794,38.672751,4.00585,88.549211,28.183274,111.155687,35.421524
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,3,0,6.503629,30.29224,3.8759,80.615343,27.049791,108.152563,29.982392
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,3,0,5.558525,46.995803,5.4245,97.705196,28.974399,105.985866,41.025938
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,3,0,6.24301,38.230292,4.07825,88.522283,28.433521,111.619833,35.94935
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,3,0,6.873385,30.216834,3.4888,80.656777,27.884101,109.79255,30.590046
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,3,0,5.060654,47.849496,5.5774,97.889051,28.644009,100.096243,40.677814
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,3,0,5.674234,39.267761,4.008,88.569127,27.860533,105.292353,35.650755
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,3,0,5.989869,31.190995,3.7554,80.500297,26.627641,100.081271,30.238112
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,3,0,4.627741,48.840925,5.73205,98.443821,28.409622,98.003648,40.422258
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,3,0,5.194017,40.184496,4.4579,89.170886,27.424488,99.014746,35.421524
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,3,0,5.346749,32.200643,3.8674,80.560602,25.833326,92.317214,29.982392
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,3,0,5.188491,47.777053,5.6349,98.07899,28.816946,100.877432,41.025938
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,3,0,5.628663,39.472307,4.1785,88.800662,27.960099,101.768291,35.94935
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,3,0,6.07792,31.467375,3.8555,81.003619,26.951639,100.439608,30.590046
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,3,0,4.772652,48.703355,5.80405,98.508511,28.609021,96.208786,40.677814
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,3,0,5.25307,40.29044,4.77005,89.650179,27.530296,99.546814,35.650755
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,3,0,5.314955,32.632701,3.86005,80.928423,26.031496,91.994244,30.238112
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,3,0,4.417512,49.604112,6.1949,99.285716,28.461043,94.778415,40.422258
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,3,0,4.807901,41.161595,4.93695,90.000692,27.244473,94.139544,35.421524
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,3,0,4.726229,33.415741,4.0795,81.019422,25.53397,87.155736,29.982392
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.4,3,0,6.495218,41.622731,4.7324,93.104795,29.129464,118.774157,38.674134
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.6,3,0,7.942903,30.807185,3.7527,83.371439,29.591191,125.088585,32.331123
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.8,3,0,9.626465,21.338889,3.6717,76.13721,30.258687,131.454545,25.65146
